number,title,state,author,assignees,labels,milestone,comments_count,created_at,updated_at,age_days,days_since_update,url,api_url,body_full,comments_text,comments_count_actual,locked,reactions_total,reactions_plus_one,reactions_minus_one,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart,reactions_rocket,reactions_eyes
4232,Add PDF export to pkgdocs deployment,open,ickc,,,,1,2025-05-08T09:34:13.0,2025-07-16T10:11:36.0,73,4,https://github.com/JuliaLang/Pkg.jl/issues/4232,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/4232,"The Pkg documentation at https://pkgdocs.julialang.org/v1/ currently lacks a PDF download option, unlike the main Julia documentation at https://docs.julialang.org/en/v1/ which provides one.\n\nI noticed there's already a PDF target in the project's build configuration, but it's not being deployed to gh-pages alongside the HTML version. Adding the PDF to the deployment would provide:\n\n- **Offline access** - Read Pkg documentation without internet connectivity\n- **Better study workflow** - Add highlights, annotations, and bookmarks directly in the document\n- **Research integration** - Import into reference managers like Zotero for easier citation and retrieval\n- **Consistency** - Match the main Julia documentation's offering of multiple formats\n\nSince the PDF target already exists, this should just require adding it to the gh-pages deployment process. Would you be open to including the built PDF in the deployment?","[ickc]: Actually, pdf are already built and uploaded in https://github.com/JuliaLang/Pkg.jl/blob/gh-pages-pdf/v1.11.6/Pkg.jl.pdf\nI guess the only remaining issue is that it is not linked from the documentation site?",1,false,0,0,0,0,0,0,0,0,0
4324,Pkg.develop uses backslash instead of forward slash in [sources] on Windows,open,davidanthoff,,,1.13,1,2025-07-15T10:36:09.0,2025-07-15T13:46:29.0,5,5,https://github.com/JuliaLang/Pkg.jl/issues/4324,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/4324,"When I call something like\n```julia\njulia +1.12 --project=. -e 'using Pkg; Pkg.develop(PackageSpec(path=""""../../TestItemServer""""))'\n```\non Windows, it creates a `Project.toml` like this\n```\n[deps]\nTestItemServer = """"1076c532-7f93-4758-ac65-93afa8eae143""""\n\n[sources]\nTestItemServer = {path = """"..\\..\\TestItemServer""""}\n```\nNote the use of backslash instead of forward slash. The manifest that is created correctly has forward slashes in there.\n\nMy proposal would be to _always_ use forward slash and never backslash. That is how it is handled for the manifest, and it makes the cross platform story way way easier (Julia 1.0 and 1.1 didn't do this for manifests, and we still have a lot of workaround code for that in the extension in a lot of places).\n\nBut I think minimally it should respect what is passed to the `develop` function.\n\nThis should ideally be fixed pre 1.12 release, I think?",[KristofferC]: Adding of sources is a 1.13 thing (that was accidentally in 1.12 so adding to 1.13 milestone).,1,false,0,0,0,0,0,0,0,0,0
2153,client-side pkg server selection,open,StefanKarpinski,,,,13,2020-10-22T15:01:45.0,2025-07-10T16:45:52.0,1732,9,https://github.com/JuliaLang/Pkg.jl/issues/2153,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/2153,"There is already a `/siblings` end point on package servers:\n```sh\n$ curl -L https://pkg.julialang.org/meta/siblings\n[""""https://us-west.pkg.julialang.org"""",""""https://us-east.pkg.julialang.org"""",""""https://us-east2.pkg.julialang.org"""",""""https://us-east-ci.pkg.julialang.org"""",""""https://eu-central.pkg.julialang.org"""",""""https://in.pkg.julialang.org"""",""""https://kr.pkg.julialang.org"""",""""https://sg.pkg.julialang.org"""",""""https://cn-southeast.pkg.julialang.org"""",""""https://cn-east.pkg.julialang.org"""",""""https://cn-northeast.pkg.julialang.org"""",""""https://au.pkg.julialang.org""""]\n```\nThe plan, which @staticfloat and I have discussed has been to allow the client to probe the available package server instances to see which one is fastest and pick one based on which is fastest at getting back to them. This will do geographical load balancing more accurately than our current server-side redirection and will also take into account CPU load: if a server is really busy, it will be slower to respond and this will send more clients to other servers, thereby reducing the load on busier servers.\n\nThe flow that was envisioned was this:\n\n1. The client requests `https://pkg.julialang.org/meta/siblings` and gets redirected to `https://us-east.pkg.julialang.org/meta/siblings`, for example.\n\n2. The `us-east` server replies with the list of sibling servers.\n\n3. The client requests `https://pkg.julialang.org/status` or something and chooses the server that replies the fastest and/or reports the lowest workload.\n\nThere is, however, a problem with the current plan: we would want this to work even if the user's primary pkg server is not responding at all. If `us-east.pkg.julialang.org` is completely broken, then anyone who is mapped there will not be able to get a list of siblings at all, so they're just stuck. This design is as flaky as the flakiest server.\n\nInstead, I think we need to arrange for `https://pkg.julialang.org/servers` to reply with a list of servers as static data, not forwarded to any specific package server (like `us-east.pkg.julialang.org`). Then the client can use that list proceed to step 3. Any server that doesn't reply at all will be ignored and the client will pick the server that replies first/reports low workload/good status. This design means that any one pkg server being down will not affect clients except that they might need to go a little further to get packages.","[DilumAluthge]: Cache the list of siblings locally? | [DilumAluthge]: So as long as the user is able to connect to their primary Pkg server one time, they can pull the list of siblings, and then we keep (and update) that list locally. | [DilumAluthge]: We could also hardcode a (not necessarily proper) subset of the siblings in the Pkg client code. And then if the sibling-list cache doesn't exist, we prepopulate it with the hardcoded list. | [StefanKarpinski]: All possible options, but it seems more reliable to serve the list of servers as a static page. It's a bad first experience if the server happens to be down and you can't connect. Hardcoding a server list is possible, but feels kind of icky—you really want to hardcode as little as possible, and if you change from `pkg.julialang.org` to `pkg.company.com` then what? | [DilumAluthge]: Hmmm. What happens when https://pkg.julialang.org/servers goes down? | [DilumAluthge]: Even if we go with https://pkg.julialang.org/servers and we don't hardcode anything, I think that at least caching the results of https://pkg.julialang.org/servers locally would be good. At the very least, we should cache those results for the remainder of the same Julia session - no need to hit https://pkg.julialang.org/servers multiple times during a single Julia session.\n\nAnd if we cache the results of https://pkg.julialang.org/servers on disk locally, then maybe we only need to hit https://pkg.julialang.org/servers one time per week to update the cache.\n\nWould reduce strain on whichever machine serves https://pkg.julialang.org/servers\n\n--- \n\nWe'd tie this cache to the value of the JULIA_PKG_SERVER environment variable. If someone changes the value of JULIA_PKG_SERVER, we'd invalidate the cache. | [DilumAluthge]: There are other special cases that might be nice to do.\n\nFor example, if `get(ENV, """"CI"""", """""""")` is `""""true""""`, I would not bother fetching https://pkg.julialang.org/servers - I would just connect to the geo-selected Pkg server, which if we have done our job should be `us-east-ci`.\n\nJust trying to think of ways to reduce traffic to https://pkg.julialang.org/servers. If every Julia user in the world is hitting https://pkg.julialang.org/servers one time per Julia session, that's a good deal of traffic, even if it is statically serving a file. | [StefanKarpinski]: Synthesizing all of this, it seems like this may be a viable strategy:\n\n- cache a list of alternatives for each pkg server value\n- have a hard-coded pre-populated list for `pkg.julialang.org`\n- if we have a list for a server, try all of them and pick the best one\n- if we don't have a list for a server yet, request `$server/meta/siblings` in order to get such a list\n\nOne thing that's a little bit weird about this is that if you set your package server to `pkg.julialang.org` then you will be redirected, so you should probably do this dance. On the other hand, if you've explicitly set your package server to `au.pkg.julialang.org`, should we be second-guessing that or just using that server? Perhaps the logic here should be:\n\n- if your `pkg_server()` value is in the list, then use it; if it cannot be reached, what then?\n- if your `pkg_server()` value is not in the list, always pick the best server from the list\n\nThat way people can set a specific sibling to use and that will be honored. | [DilumAluthge]: That sounds like a good plan to me!\n\nI agree that the """"you've explicitly set your package server to `au.pkg.julialang.org`"""" case is a weird case. I think the logic you outlined there makes sense. | [johnnychen94]: Could this functionality be implemented as a non-standard package? That way 3rd-party pkg servers can be added to the pre-populated list in a more flexible way.\n\n(Although I'm thinking of those storage mirrors in China, e.g., [BFSU](https://mirrors.bfsu.edu.cn/julia/), as 3rd-party pkg servers.) | [StefanKarpinski]: It seems like a static file on the server would work in that case, no? | [KristofferC]: My guess is that this does not have to be discussed much more. | [StefanKarpinski]: This isn't done yet though...",13,false,2,2,0,0,0,0,0,0,0
4237,Automatic addition to `[sources]` does not play well with workspaces,open,Keno,,bug,,1,2025-05-15T22:30:47.0,2025-07-09T08:46:08.0,65,11,https://github.com/JuliaLang/Pkg.jl/issues/4237,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/4237,"Consider a Project like https://github.com/JuliaComputing/DAECompiler.jl/blob/6f771bd21dc7f8e61befca32beb0a6dbab32a6aa/test/Project.toml (which is part of a workspace with its parent directory). On Julia main, I did `add Polynomials`, which resulted in Pkg adding\n\n```\nCompiler = {path = """"/home/keno/julia-clean/Compiler/""""}\nCthulhu = {rev = """"master"""", url = """"https://github.com/JuliaDebug/Cthulhu.jl.git""""}\nDAECompiler = {path = """".""""}\nDiffractor = {rev = """"main"""", url = """"https://github.com/JuliaDiff/Diffractor.jl.git""""}\nSciMLSensitivity = {path = """"/home/keno/.julia/dev/SciMLSensitivity""""}\nStateSelection = {rev = """"main"""", url = """"git@github.com:JuliaComputing/StateSelection.jl.git""""}\n```\n\nto my `[sources]`. These are mostly copied from the main Project.toml, which seems fine, but redundant (I'd prefer to only have to specify these one place). However, I think the new `DAECompiler` entry is just wrong, because it's at the wrong level of the tree.","[KristofferC]: Some notes:\n\n- The `DAECompiler` entry is completely bogus and should not be there. In fact, any package within the workspace should not be added to sources.\n- As to what file the source entry should go into, would it make sense to put it in the project file closest to the root that also has the corresponding package as a dependency? Or should the source info always go into the root project? But then we would need to add an entry about the UUID for that package there, maybe under [extras].",1,false,1,1,0,0,0,0,0,0,0
3269,"Support for ""raw"" artifacts (that are not extracted)",open,maleadt,,bug; artifacts,,14,2022-12-02T09:21:54.0,2025-07-07T15:59:33.0,961,12,https://github.com/JuliaLang/Pkg.jl/issues/3269,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/3269,"Certain artifacts rely on specific permissions, or other peculiarities that get lost when tarballs are extracted and files are stored in the artifacts folder. It would be convenient if next to `lazy = (true|false*)` there were something like `raw = (true|false*)` that makes it the user's responsibility to handle these tarballs, i.e., without Pkg.jl messing with them other than downloading and verifying them.\n\nThis would be useful for PkgEval.jl, where we now can't use the high-level APIs of the Artifacts stdlib, and instead have to manually fiddle with the Artifacts.toml file: https://github.com/JuliaCI/PkgEval.jl/pull/189\n\nOriginal issue below:\n\n---\n\n\nI'm having an issue with a rootfs artifact (i.e. containing a Linux OS) being extracted with the wrong permissions. The image in question is used in PkgEval.jl, and the problematic file is a lock whose `u+w` permissions are dropped.\n\nFirst of all, here's the tarball and the permissions the lock file should have:\n\n```\n❯ wget https://github.com/JuliaCI/PkgEval.jl/releases/download/v0.1/debian-bullseye-20220818.tar.xz\n❯ tar -tvf debian-bullseye-20220818.tar.xz | grep var/lib/dpkg/lock-frontend\n-rw-r-----  0 tim    tim         0 Aug 18 16:19 ./var/lib/dpkg/lock-frontend\n```\n\nIf I download this tarball using Pkg's `download_verify_unpack`, all seems well (an `o+r` permission is added, which isn't great, but also not terrible):\n\n```\njulia> Pkg.download_verify_unpack(""""https://github.com/JuliaCI/PkgEval.jl/releases/download/v0.1/debian-bullseye-20220818.tar.xz"""", nothing, mktempdir(); verbose=true, ignore_existence=true)\n[ Info: Unpacking /var/folders/q0/wbdz2dpd0q9gtjk3wkj1fcnh0000gn/T/jl_ti7eJ2RSRC-download.xz into /var/folders/q0/wbdz2dpd0q9gtjk3wkj1fcnh0000gn/T/jl_EajM2J...\ntrue\n\nshell> ls -la /var/folders/q0/wbdz2dpd0q9gtjk3wkj1fcnh0000gn/T/jl_EajM2J/var/lib/dpkg/lock-frontend\n-rw-r--r--  1 tim  staff  0 Dec  2 10:07 /var/folders/q0/wbdz2dpd0q9gtjk3wkj1fcnh0000gn/T/jl_EajM2J/var/lib/dpkg/lock-frontend\n```\n\nHowever, if I pack this up in an `Artifacts.toml`, I get the following:\n\n```\njulia> ArtifactUtils.add_artifact!(""""Artifacts.toml"""", """"debian"""", """"https://github.com/JuliaCI/PkgEval.jl/releases/download/v0.1/debian-bullseye-20220818.tar.xz""""; lazy=true)\n\n❯ cat Artifacts.toml\n[debian]\ngit-tree-sha1 = """"e5d2359bc94f9d9ddc771c2274c83324ca8cbbcc""""\nlazy = true\n    [[debian.download]]\n    sha256 = """"072392d8635847de70665af512551038b04baca99b38e271d0eef1ea36d2833a""""\n    url = """"https://github.com/JuliaCI/PkgEval.jl/releases/download/v0.1/debian-bullseye-20220818.tar.xz""""\n\njulia> using LazyArtifacts\n\njulia> artifact""""debian""""\n""""/Users/tim/.julia/artifacts/e5d2359bc94f9d9ddc771c2274c83324ca8cbbcc""""\n\nshell> ls -la /Users/tim/.julia/artifacts/e5d2359bc94f9d9ddc771c2274c83324ca8cbbcc/var/lib/dpkg/lock-frontend\n-r--r--r--  1 tim  staff  0 Dec  2 10:08 /Users/tim/.julia/artifacts/e5d2359bc94f9d9ddc771c2274c83324ca8cbbcc/var/lib/dpkg/lock-frontend\n```\n\n... and our `u+w` permission is gone. That's bad, here breaking `dpkg` in the containers spawned using this rootfs because it can't take the lock.\n\nTested on 1.8.2, reproduces on macOS and Linux. This artifact also seems to trigger an unrelated git tree hash change between 1.7 (`d41ccdb32c924682293a4fe525b9986b7debb11d`) and 1.8 (`e5d2359bc94f9d9ddc771c2274c83324ca8cbbcc`).","[giordano]: Is that because Tar.jl normalises permissions? | [maleadt]: I don't think so, because in https://github.com/JuliaCI/PkgEval.jl/pull/189 I'm now using Tar.jl directly to unpack this tarball, and permissions are fine. | [staticfloat]: The issue is that Pkg likes to set things to be read-only: https://github.com/JuliaLang/Pkg.jl/blob/6dd0e7c9e99d578aa5477e2c78c91a161ce4c357/src/Artifacts.jl#L79\n\nI think the reason the areas of the ecosystem that I administer don't run into this is that I'm usually running as `root` on the inside of containers, and `dpkg` likely ignores read-only permissions on lock files if its run as `root`:\n\n```\njulia> using Sandbox\n       config = SandboxConfig(\n           Dict(""""/"""" => Sandbox.debian_rootfs());\n           stdin, stdout, stderr,\n       )\n       with_executor() do exe\n           run(exe, config, `/bin/bash -c 'apt update; apt install make'`)\n       end\nGet:1 https://deb.debian.org/debian bullseye InRelease [116 kB]\nGet:2 https://deb.debian.org/debian bullseye/main amd64 Packages [8068 kB]\nGet:3 https://deb.debian.org/debian bullseye/main Translation-en [6236 kB]\nFetched 14.4 MB in 2s (7687 kB/s)                           \nReading package lists... Done\nBuilding dependency tree... Done\n20 packages can be upgraded. Run 'apt list --upgradable' to see them.\nW: No sandbox user '_apt' on the system, can not drop privileges\nReading package lists... Done\nBuilding dependency tree... Done\nSuggested packages:\n  make-doc\nThe following NEW packages will be installed:\n  make\n0 upgraded, 1 newly installed, 0 to remove and 20 not upgraded.\nNeed to get 396 kB of archives.\nAfter this operation, 1630 kB of additional disk space will be used.\nGet:1 https://deb.debian.org/debian bullseye/main amd64 make amd64 4.3-4.1 [396 kB]\nFetched 396 kB in 0s (1996 kB/s)\ndebconf: delaying package configuration, since apt-utils is not installed\nSelecting previously unselected package make.\n(Reading database ... 6972 files and directories currently installed.)\nPreparing to unpack .../make_4.3-4.1_amd64.deb ...\nUnpacking make (4.3-4.1) ...\nSetting up make (4.3-4.1) ...\nW: No sandbox user '_apt' on the system, can not drop privileges\nProcess(`/usr/bin/docker run --privileged -i --label org.julialang.sandbox.jl=7utA1BMVq3 -t -w / --user 0:0 sandbox_rootfs:a507efe7-0-0 /bin/bash -c 'apt update; apt install make'`, ProcessExited(0))\n\njulia> run(`ls -la $(joinpath(Sandbox.debian_rootfs(), """"var"""", """"lib"""", """"dpkg"""", """"lock""""))`)\n-r--r--r-- 1 sabae sabae 0 Aug  8  2023 /home/sabae/.julia/artifacts/16738e2d713323e608ff891cb66de38d9d667d45/var/lib/dpkg/lock\n``` | [maleadt]: > I think the reason the areas of the ecosystem that I administer don't run into this is that I'm usually running as `root` on the inside of containers\n\nMakes sense, but for PkgEval I don't want to run as root in order to spot packages doing questionable things (e.g., using `su` or `sudo`). | [KristofferC]: What could be done here? Stop setting the artifacts to read only? | [maleadt]: > Stop setting the artifacts to read only?\n\nI would argue that's the expected behavior. But root filesystems are a fairly special case, and for most packages it's probably more interesting to have everything be read-only in order to detect accidental writes to the artifact store.\n\nWhat about an additional tag in the `Artifacts.toml`? A default `chmod = true` for the current behavior, and `chmod = false` to support disabling it? | [KristofferC]: Should that choice be made at the `Artifact.toml` level or at the point when things are installed? | [maleadt]: In my case at least, it's mostly a property of the artifact. Maybe phrasing it as `readonly = true` ties it more to the artifact? | [staticfloat]: Because we identify artifacts by content-hash, it's a little risky to allow them to be made non-readonly, as we then break the implicit contract that this artifact can be shared by multiple environments/packages with no fear of them being """"incorrect"""" in some way.\n\nIn practice, I'll just remind Tim that he broke the contract by setting the flag, and he has only himself to blame.  This should be a pretty easy thing to implement, and I agree this should be in `Artifacts.toml` on a per-artifact basis. | [staticfloat]: I think the name of the setting should be something like `set_read_only = false`. | [maleadt]: Yeah, I guess agree that this kinda violates the idea of the artifact store, and maybe we should simply not use it to store (extracted) root filesystems, if anything because there's additional issues like the fact that empty directories (as required by some tools) are not always dealt with correctly. I'd be fine with that as well. | [staticfloat]: I guess it comes down to convenience. If you are okay with using something that just downloads to a scratch space and using that, that’s easiest for the Pkg devs. | [maleadt]: Maybe one convenience feature then would be to support artifacts that are not to be extracted. Currently, I hand-roll the TOML parsing, while something like `extract = false` could allow me to simply look up the tarball. | [staticfloat]: So we’d have artifacts, lazy artifacts, and “utterly devoted to the sin of sloth” artifacts. :)",14,false,0,0,0,0,0,0,0,0,0
4157,Changing a source in `Project.toml` doesn't trigger a full resolution of the environment,open,giordano,,bug,,4,2025-02-15T17:03:38.0,2025-07-07T09:07:35.0,154,13,https://github.com/JuliaLang/Pkg.jl/issues/4157,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/4157,"Consider the following `Project.toml`\n```toml\n[deps]\nExample = """"7876af07-990d-54b4-ab0e-23690620f79a""""\n\n[sources]\nExample = {url = """"https://github.com/JuliaLang/Example.jl.git"""", rev = """"9eafbe382ffe5bf31d674cd3d7bfd7dbaf3f4b29""""}\n```\nResolve the environment and you get the following `Manifest.toml`:\n```toml\n# This file is machine-generated - editing it directly is not advised\n\njulia_version = """"1.13.0-DEV""""\nmanifest_format = """"2.0""""\nproject_hash = """"2ba095eea143434854ea510082d0697aa2bcd3f3""""\n\n[[deps.Example]]\ngit-tree-sha1 = """"f5f048e73ccd0bdfbddd9bd556d9eca360135609""""\nrepo-rev = """"9eafbe382ffe5bf31d674cd3d7bfd7dbaf3f4b29""""\nrepo-url = """"https://github.com/JuliaLang/Example.jl.git""""\nuuid = """"7876af07-990d-54b4-ab0e-23690620f79a""""\nversion = """"0.5.5""""\n```\nNow change the project to (note the change of the `rev` attribute of the `Example` package)\n```toml\n[deps]\nExample = """"7876af07-990d-54b4-ab0e-23690620f79a""""\n\n[sources]\nExample = {url = """"https://github.com/JuliaLang/Example.jl.git"""", rev = """"82d1224c32990c0105898fa44009864f5648e98d""""}\n```\nand re-resolving the environment changes the `Manifest.toml` to\n```toml\n# This file is machine-generated - editing it directly is not advised\n\njulia_version = """"1.13.0-DEV""""\nmanifest_format = """"2.0""""\nproject_hash = """"2ba095eea143434854ea510082d0697aa2bcd3f3""""\n\n[[deps.Example]]\ngit-tree-sha1 = """"f5f048e73ccd0bdfbddd9bd556d9eca360135609""""\nrepo-rev = """"82d1224c32990c0105898fa44009864f5648e98d""""\nrepo-url = """"https://github.com/JuliaLang/Example.jl.git""""\nuuid = """"7876af07-990d-54b4-ab0e-23690620f79a""""\nversion = """"0.5.5""""\n```\nNote that only `deps.Example.repo-rev` changed, but not `deps.Example.git-tree-sha1`, nor `project_hash`.\n\n```julia-repl\njulia> versioninfo()\nJulia Version 1.13.0-DEV.63\nCommit f5f6d4115b* (2025-02-14 21:22 UTC)\nPlatform Info:\n  OS: macOS (arm64-apple-darwin23.4.0)\n  CPU: 8 × Apple M1\n  WORD_SIZE: 64\n  LLVM: libLLVM-18.1.7 (ORCJIT, apple-m1)\n  GC: Built with stock GC\nThreads: 1 default, 1 interactive, 1 GC (on 4 virtual cores)\n```",[KristofferC]: Might be related to https://github.com/JuliaLang/Pkg.jl/issues/4086. | [KristofferC]: It wasn't the case that you could change rev / repo / path without a corresponding Pkg command so there are some cases (like in `resolve`) where this causes Pkg to miss that information has been updated directly in the project file. | [KristofferC]: The project hash not updating seems to be due to\n\nhttps://github.com/JuliaLang/Pkg.jl/blob/d2c81dbe7288e9cf6acea2098a2f3de22e24782a/src/Types.jl#L601-L602\n\nwhere it claims that only compact + deps affect resolve (which is no longer true with sources). | [KristofferC]: We do not enter the repo handling here:\n\nhttps://github.com/JuliaLang/Pkg.jl/blob/d2c81dbe7288e9cf6acea2098a2f3de22e24782a/src/Operations.jl#L410-L418\n\nbecause we see that we have already downloaded the package with the tree hash recorded in the manifest (failing to see that information is no longer valid due to the updated rev in the project sources).,4,false,1,1,0,0,0,0,0,0,0
3857,`instantiate` always instantiates whole workspace,open,KristofferC,,bug; workspace,,2,2024-03-26T13:10:57.0,2025-07-07T08:40:04.0,481,13,https://github.com/JuliaLang/Pkg.jl/issues/3857,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/3857,"https://github.com/JuliaLang/Pkg.jl/blob/162634c5615d12b889e4b64f3cff95d1c377f189/src/API.jl#L1274-L1276\n\nwill download all packages + artfacts from packages in the manifest (which will be the whole workspace), not limited to the currently active project.","[NHDaly]: I've seen something very similar in our monorepo project, where we have a bunch of subprojects that are dev'd and they all share a manifest via the `manifest = """"../../Manifest.toml""""` field in their Project.tomls.\n\nActivating one, and instantiating will build the whole top-level project, not just the currently active one.\n\nI _think_ that's probably the same issue as in this ticket, but if not we can open a new one. | [KristofferC]: I would personally consider the `manifest = ` """"feature"""" deprecated by the workspace functionality. Is there any reason you would keep wanting to use it in presence of workspaces?",2,false,1,1,0,0,0,0,0,0,0
3644,Since v1.10 --warn-overtype will be overwritten to yes in Pkg.test(),open,s-fuerst,,,,2,2023-10-04T15:20:19.0,2025-07-07T08:00:37.0,654,13,https://github.com/JuliaLang/Pkg.jl/issues/3644,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/3644,"Since Julia 1.10 (I tested 1.10.0-beta3 and 1.10.alpha1, both installed via juliaup) I get `Method definition ... overwritten` warnings when I test my package. The MWE for this is:\n\n```\n using Test\n\n@testset begin\n    @eval asserting() = true\n    @eval asserting() = false\nend\n```\n\nas `test/runtest.jl` file for a project.\n\nWhen I test this with 1.10, I get:\n```\n> julia +1.10 --project --warn-overwrite=no      \n\njulia> using Pkg; Pkg.test()\n[...]\nWARNING: Method definition asserting() in module Main at [...]/test/runtests.jl:4 overwritten [...]/test/runtests.jl:5.\n[...]\n```\n\nThe documentation of Pkg.test mentions only that `check-bounds` will be set to yes in the new process. \n\nSo, if this change is intended (which IMHO is not a good idea), please update the documentation and add a remark to the 1.10 Release notes.\n\nThank you.\n\n```\njulia> versioninfo()\nJulia Version 1.10.0-beta3\nCommit 404750f8586 (2023-10-03 12:53 UTC)\nBuild Info:\n  Official https://julialang.org/ release\nPlatform Info:\n  OS: Linux (x86_64-linux-gnu)\n  CPU: 16 × 12th Gen Intel(R) Core(TM) i5-1240P\n  WORD_SIZE: 64\n  LIBM: libopenlibm\n  LLVM: libLLVM-15.0.7 (ORCJIT, alderlake)\n  Threads: 1 on 16 virtual cores\nEnvironment:\n  LD_RUN_PATH = /usr/lobal/lib\n  LD_LIBRARY_PATH = /usr/local/lib:/usr/local/lib\n```","[vtjnash]: Xref https://github.com/JuliaLang/Pkg.jl/pull/3350 | [KristofferC]: Right now, there is no way to check if a user has forcefully disabled warn overwrite or if it is just by default so that would need to be updated in Julia for us to be able to check it.",2,false,0,0,0,0,0,0,0,0,0
2701,Cloning repo using Pkg.add(url) results in a non-descriptive error,open,timcop,,,,1,2021-08-14T05:04:08.0,2025-07-04T22:25:59.0,1436,15,https://github.com/JuliaLang/Pkg.jl/issues/2701,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/2701,"Encountered a """"failed to fetch from ... error: GitError(Code:ERROR, Class:HTTP, unexpected http status code: 403"""" when adding a private repository that I have access to, and using my GitHUb username and password when prompted:\n![Screenshot from 2021-08-14 16-50-27](https://user-images.githubusercontent.com/70932357/129434517-e8b18739-0d7f-4a61-a89d-97d07d706314.png)\n\nI think this is due to GitHub's new change to requiring a private access token as the password when prompted, which when I created an access token and used it as the password I was able to overcome this error. However I only realised this was the issue when I went to clone the repository using terminal which gave me this error \n![Screenshot from 2021-08-14 17-00-37](https://user-images.githubusercontent.com/70932357/129434684-2d9a4a9e-d7c6-4db7-80c3-927894e962bb.png)\n\nSo a suggested change would be to add the message """"Support for password authentication was removed..."""" for the Pkg error so for those that are unaware of the change know what to do.",[IanButterworth]: I think a generic solution to this is if we start showing the messages that github sends through that git shows.\n\nI've tried to implement that in LibGit2 here but it's not currently capturing them. Needs more investigation.\nhttps://github.com/JuliaLang/julia/compare/master...IanButterworth:julia:ib/libgit2_sideband,1,false,0,0,0,0,0,0,0,0,0
2489,Consider the possibility of git cloning cli doing a shallow clone instead,open,,,,,3,2021-04-06T00:34:49.0,2025-07-04T13:27:59.0,1566,16,https://github.com/JuliaLang/Pkg.jl/issues/2489,https://api.github.com/repos/JuliaLang/Pkg.jl/issues/2489,"<!--\nIf you have a question please search or post to our Discourse site: https://discourse.julialang.org.\nWe use the GitHub issue tracker for bug reports and feature requests only.\n\nIf you're submitting a bug report, be sure to include as much relevant information as\npossible, including a minimal reproducible example and the output of `versioninfo()`.\nIf you're experiencing a problem with a particular package, open an issue on that\npackage's repository instead.\n\nThanks for contributing to the Julia project!\n-->\n\nI've reported issue #[40193 ](https://github.com/JuliaLang/julia/issues/40193) about the speed of cloning. \n\nI understand there's improvements with cloning, it's now possible to use the git cli. \n\nIs it possible for the git cli to do a [shallow clone](https://github.com/JuliaLang/Pkg.jl/commit/623625b843b0e01070e936d45787873370176153#r49137314) with `git shallow clone with git clone --depth 1 --quiet $url $source_path` instead? \nMakes cloning much faster, and decreases the no of objects downloaded. \n","[StefanKarpinski]: I believe that GitHub does not like shallow clones in the sense that they support them but it overloads their servers if too many people do it. If that's still the case, it would be rude of us to default to using a shallow clone. This also wouldn't be in a release prior to 1.7 and for that release, we're going to download tarballs and use them [without unpacking them](https://github.com/JuliaLang/Pkg.jl/pull/2431), which addresses the performance issues on Windows, allowing us to stop defaulting to using git clones at all there (at which point we could use a shallow clone since not that many people would be doing it). | [KristofferC]: Ref https://github.com/CocoaPods/CocoaPods/issues/4989#issuecomment-193772935 and https://blog.cocoapods.org/Master-Spec-Repo-Rate-Limiting-Post-Mortem/. | [KristofferC]: I think it is fine for us to use a shallow clone since our git usage is so low and support for this has recently been added to libgit2.",3,false,0,0,0,0,0,0,0,0,0
